RECORD #(BIBLIO),TITLE,AUTHOR,008 Date One,260|b,260|c,CALL #(BIBLIO),TOT CHKOUT,LOUTDATE
b22432553,Guerrilla marketing excellence : the 50 golden rules for small-business success / Jay Conrad Levinson,"Levinson, Jay Conrad.",1993,"Houghton Mifflin Co.,",1993,HF5415 .L4793 1993,12,8/20/2012 16:02
b24056777,Selling sin : the marketing of socially unacceptable products / D. Kirk Davidson.,"Davidson, D. Kirk.",1996,"Quorum Books,",1996,HF5415.122 .D38 1996,16,2/16/2013 17:00
b23832782,Services marketing / Christopher H. Lovelock.,"Lovelock, Christopher H.",1996,"Prentice Hall,",c1996.,HF5415.122 .L68 1996,10,1/16/2012 16:57
b27592339,"Mastering data mining : the art and science of customer relationship management / Michael J. A. Berry, Gordon Linoff.","Berry, Michael J. A.",2000,"Wiley Computer Publishing,",c2000.,HF5415.125 .B47 2000,14,1/17/2014 11:38
b46560877,"Database marketing : analyzing and managing customers / Robert C. Blattberg, Byung-Do Kim, Scott A. Neslin.","Blattberg, Robert C., 1942-",2008,"Springer,",2008,HF5415.126 .B577 2008,11,2/4/2014 16:55
b26154845,Global marketing and advertising : understanding cultural paradoxes / Marieke de Mooij.,"Mooij, Marieke K. de, 1943-",1998,"Sage Publications,",c1998.,HF5415.127 .M66 1998,11,1/20/2010 11:52
b28977646,Market-based management : strategies for growing customer value and profitability / Roger J. Best.,"Best, Roger J.",2000,"Prentice Hall,",c2000.,HF5415.13 .B46 2000,98,5/18/2012 9:42
b27444521,"No space, no choice, no jobs, no logo : taking aim at the brand bullies / Naomi Klein.","Klein, Naomi.",2000,"Picador USA,",2000,HF5415.13 .K545 2000,32,5/26/2014 17:52
b26999626,"Kotler on marketing : how to create, win, and dominate markets / Philip Kotler.","Kotler, Philip.",1999,"Free Press,",c1999.,HF5415.13 .K638 1999,12,3/18/2013 11:15
b27366443,Marketing management / Philip Kotler.,"Kotler, Philip.",2000,"Prentice Hall,",c2000.,HF5415.13 .K64 2000,46,9/18/2013 14:28
b29435936,Marketing management / Philip Kotler.,"Kotler, Philip.",2003,"Prentice Hall,",c2003.,HF5415.13 .K64 2003,33,1/5/2014 17:38
b36358307,"Marketing management / Philip Kotler, Kevin Keller.","Kotler, Philip.",2006,"Pearson Prentice Hall,",c2006.,HF5415.13 .K64 2006,21,1/4/2014 13:35
b44112920,"Marketing management / Philip Kotler, Kevin Lane Keller.","Kotler, Philip.",2009,"Pearson Prentice Hall,",c2009.,HF5415.13 .K64 2009,18,1/5/2014 17:39
b26999407,"The experience economy : work is theatre & every business a stage / B. Joseph Pine II, James H. Gilmore.","Pine, B. Joseph.",1999,"Harvard Business School Press,",c1999.,HF5415.15 .P56 1999,10,6/16/2010 9:42
b27189879,Rules for revolutionaries : the capitalist manifesto for creating and marketing new products and services / Guy Kawasaki with Michele Moreno.,"Kawasaki, Guy, 1954-",1999,"HarperBusiness,",c1999.,HF5415.153 .K384 1999,11,4/5/2013 10:39
b35990995,"Blue ocean strategy : how to create uncontested market space and make the competition irrelevant / W. Chan Kim, Renû?e Mauborgne.","Kim, W. Chan.",2005,"Harvard Business School Press,",c2005.,HF5415.153 .K53 2005,17,1/7/2014 13:02
b28630452,"Marketing research : methodological foundations / Gilbert A. Churchill, Jr.","Churchill, Gilbert A.",1999,"Dryden Press,",c1999.,HF5415.2 .C5 1999,13,3/24/2014 14:00
b33929749,"Marketing research : methodological foundations / Gilbert A. Churchill, Dawn Iacobucci.","Churchill, Gilbert A.",2005,"Thomson/South-Western,",c2005.,HF5415.2 .C5 2005,21,2/11/2014 11:01
b47349694,"Marketing research : methodological foundations / Dawn Iacobucci, Gilbert A. Churchill, Jr.","Iacobucci, Dawn.",2010,"South-Western Cengage Learning,",2010,HF5415.2 .C5 2010,58,4/21/2014 8:06
b26436358,The handbook for focus group research / Thomas L. Greenbaum.,"Greenbaum, Thomas L.",1998,"Sage Publications,",c1998.,HF5415.2 .G695 1998,10,5/1/2013 14:52
b27236705,Why we buy : the science of shopping / Paco Underhill.,"Underhill, Paco.",1999,"Simon & Schuster,",c1999.,HF5415.2 .U53 1999,22,5/2/2013 11:39
b27440035,"Handbook of marketing scales : multi-item measures for marketing and consumer behavior research / William O. Bearden, Richard G. Netemeyer.","Bearden, William O., 1945-",1999,"Sage Publications,",c1999.,HF5415.3 .B323 1999,12,4/1/2013 15:31
b15650698,"Discrete choice theory of product differentiation / Simon P. Anderson, Andrû? de Palma, and Jacques-Franc??ois Thisse","Anderson, Simon P.",1992,"The MIT Press,",1992,HF5415.32 .A53 1992,11,12/7/2012 11:37
b26406718,"McDonaldization revisited : critical essays on consumer culture / edited by Mark Alfino, John S. Caputo, and Robin Wynyard   foreword by Douglas Kellner.",,1998,"Praeger,",1998,HF5415.32 .M395 1998,11,5/28/2012 12:02
b27444569,"Permission marketing : turning strangers into friends, and friends into customers / Seth Godin.","Godin, Seth.",1999,"Simon & Schuster,",c1999.,HF5415.55 .G63 1999,17,9/18/2014 11:29
b23919590,"Retailing, consumption and capital : towards the new retail geography / edited by Neil Wrigley and Michelle Lowe.",,1996,"Longman,",1996,HF5429 .R44 1996,13,4/13/2011 11:04
b38962895,Wal-Mart : the face of twenty-first-century capitalism / edited by Nelson Lichtenstein.,,2006,"New Press,",2006,HF5429.215.U6 W35 2006,12,3/13/2013 22:31
b37831173,"Professional selling & sales management / Ralph W. Jackson, Robert D. Hisrich, Stephen J. Newell.","Jackson, Ralph W.",2007,"Northcoast Pub.,",c2007,HF5438.25 .J33 2007,15,9/20/2012 17:28
b29754537,Crossing the chasm : marketing and selling high-tech products to mainstream customers / Geoffrey A. Moore   with a foreword by Regis McKenna.,"Moore, Geoffrey A., 1946-",2002,"HarperBusiness Essentials,",c2002.,HF5439.H54 M66 2002,22,1/11/2013 18:05
b35263118,Trading and exchanges : market microstructure for practitioners / Larry Harris.,"Harris, Larry, 1956-",2002,"Oxford University Press,",2003,HF5470 .H37 2003,18,4/29/2014 11:22
b30446399,"The art of modeling with spreadsheets : management science, spreadsheet engineering, and modeling craft / Stephen G. Powell, Kenneth R. Baker.","Powell, Stephen G.",2004,"Wiley,",c2004.,HF5548.2 .P654 2004,44,9/3/2014 12:51
b4057345x,"Management science : the art of modeling with spreadsheets / Stephen G. Powell, Kenneth R. Baker.","Powell, Stephen G.",2007,"John Wiley & Sons,",c2007.,HF5548.2 .P654 2007,19,9/26/2013 13:48
b4382111x,"Management science : the art of modeling with spreadsheets / Stephen G. Powell, Kenneth R. Baker.","Powell, Stephen G.",2009,"John Wiley & Sons,",c2009.,HF5548.2 .P654 2009,15,1/17/2014 10:12
b4890126x,"Management science : the art of modeling with spreadsheets / Stephen G. Powell, Kenneth R. Baker.","Powell, Stephen G.",2010,"Wiley,",[2010].,HF5548.2 .P654 2010,13,8/19/2014 16:00
b23572553,Sensemaking in organizations / Karl E. Weick,"Weick, Karl E.",1995,"Sage Publications,",c1995,HF5548.8 .W36 1995,18,4/10/2014 10:58
b26981300,"Strategic human resources : frameworks for general managers / James N. Baron, David M. Kreps.","Baron, James N.",1999,"John Wiley,",1999,HF5549 .B286 1999,12,4/23/2014 10:13
b33194518,"Now, discover your strengths / Marcus Buckingham, Donald O. Clifton.","Buckingham, Marcus.",2001,"Free Press,",c2001.,HF5549.5.M63 B83 2001,14,5/27/2014 11:26
b53578855,"Great people decisions : why they matter so much, why they are so hard, and how you can master them / Claudio Fernandez Araoz.","Fernandez Araoz, Claudio.",2007,"John Wiley & Sons,",c2007.,HF5549.5.R44 F47 2007,17,5/5/2014 10:32
b53578855,"Great people decisions : why they matter so much, why they are so hard, and how you can master them / Claudio Fernandez Araoz.","Fernandez Araoz, Claudio.",2007,"John Wiley & Sons,",c2007.,HF5549.5.R44 F47 2007,14,4/28/2014 14:52
b28663871,Essentials of accounting / Robert N. Anthony and Leslie K. Pearlman.,"Anthony, Robert N. (Robert Newton), 1916-2006.",2000,"Prentice Hall,",c2000.,HF5635 .A6879 2000,17,8/6/2013 17:11
b23171492,"Financial accounting : an introduction to concepts, methods, and uses / Clyde P. Stickney, Roman L. Weil","Stickney, Clyde P., 1944-",1994,"Dryden Press,",c1994,HF5635 .D228 1994,22,8/28/2012 17:23
b27279881,"Financial accounting : an introduction to concepts, methods, and uses / Clyde P. Stickney, Roman L. Weil.","Stickney, Clyde P., 1944-",2000,"Dryden Press,",c2000.,HF5635 .D228 2000,45,9/11/2012 12:20
b29552795,"Financial accounting : an introduction to concepts, methods, and uses / Clyde P. Stickney, Roman L. Weil.","Stickney, Clyde P., 1944-",2003,"Thomson/South-Western,",c2003.,HF5635 .D228 2003,92,2/13/2014 17:19
b34932306,"Financial accounting : an introduction to concepts, methods, and uses / Clyde P. Stickney, Roman L. Weil.","Stickney, Clyde P., 1944-",2006,"Thomson/South-Western,",c2006.,HF5635 .D228 2006,16,1/7/2013 12:30
b37842511,"Financial accounting : an introduction to concepts, methods, and uses / Clyde P. Stickney, Roman L. Weil.","Stickney, Clyde P., 1944-",2007,"Thomson/South-Western,",c2007.,HF5635 .D228 2007,21,9/3/2014 12:51
b4675300x,"Financial accounting : an introduction to concepts, methods, and uses / Clyde P. Stickney ... [et al.].",,2010,"South-Western/Cengage Learning,",c2010.,HF5635 .D228 2010,32,7/9/2014 11:09
b54794493,"Financial accounting : an introduction to concepts, methods, and uses / Roman L. Weil, Katherine Schipper, Jennifer Francis.","Weil, Roman L.",2014,"South-Western, Cengage Learning,",c2014.,HF5635 .D228 2014,19,8/15/2014 10:02
b29552746,"Introduction to financial accounting / Charles T. Horngren, Gary L. Sundem, John A. Elliott.","Horngren, Charles T., 1926-",2002,"Prentice Hall,",c2002.,HF5635 .H813 2002,18,7/17/2013 10:50
b32731796,"Intermediate accounting / Donald E. Kieso, Jerry J. Weygandt, Terry D. Warfield.","Kieso, Donald E.",2004,"J. Wiley,",c2004.,HF5635 .K5 2004,14,2/10/2011 22:42
b36534572,"Financial accounting : tools for business decision making / Paul D. Kimmel, Jerry J. Weygandt, Donald E. Kieso.","Kimmel, Paul D.",2007,"John Wiley,",c2007.,HF5635 .K538 2007,13,7/16/2013 11:06
b36534584,Financial accounting / Jane L. Reimers.,"Reimers, Jane L.",2007,"Prentice Hall,",c2007.,HF5635 .R35 2007,11,7/16/2014 19:07
b26128494,"Financial accounting : an introduction to concepts, methods, and uses / Clyde P. Stickney, Roman L. Weil.","Stickney, Clyde P., 1944-",1997,"Dryden Press,",c1997.,HF5635 .S856 1997,38,1/5/2011 20:57
b23727615,Financial reporting and statement analysis : a strategic perspective / Clyde P. Stickney.,"Stickney, Clyde P., 1944-",1996,"Dryden Press,",c1996.,HF5635 .S857 1996,57,3/29/2010 21:02
b26680282,"Financial reporting and statement analysis : a strategic perspective / Clyde P. Stickney, Paul R. Brown.","Stickney, Clyde P., 1944-",1996,"Dryden Press,",c1999.,HF5635 .S857 1999,179,9/13/2011 16:04
b30510314,"Financial reporting and statement analysis : a strategic perspective / Clyde P. Stickney, Paul R. Brown, James M. Wahlen.","Stickney, Clyde P., 1944-",2004,"Thomson/South-Western,",c2004.,HF5635 .S857 2004,79,3/26/2014 15:13
b37257808,"Financial reporting, financial statement analysis, and valuation : a strategic perspective / Clyde P. Stickney, Paul R. Brown, James M. Wahlen.","Stickney, Clyde P., 1944-",2007,"Thomson/South-Western,",c2007.,HF5635 .S857 2007,19,3/24/2014 8:46
b48806158,"Financial reporting, financial statement analysis, and valuation : a strategic perspective / James M. Wahlen, Mark Bradshaw, Stephen P. Baginski.","Wahlen, James M.",2011,"South-Western  ;""Cengage Learning [distributor],""",c2011.,HF5635 .S857 2011,88,10/31/2013 13:40
b48806158,"Financial reporting, financial statement analysis, and valuation : a strategic perspective / James M. Wahlen, Mark Bradshaw, Stephen P. Baginski.","Wahlen, James M.",2011,"South-Western  ;""Cengage Learning [distributor],""",c2011.,HF5635 .S857 2011,19,3/25/2014 18:25
b46172592,"Financial & managerial accounting for MBAs / by Peter D. Easton, Robert F. Halsey, Mary Lea McAnally, and Al Hartgraves.",,2008,"Cambridge Business Publishers,",c2008.,HF5636 .F491 2008,10,1/14/2014 11:36
b48128612,Cases in managerial and cost accounting / Brandt R. Allen ... [et al.].,,2010,"Cambridge Business Publishers,",c2010.,HF5657.4 .C372 2010x,55,1/14/2013 14:10
b48128624,Managerial accounting : creating value in a dynamic business environment / Ronald W. Hilton.,"Hilton, Ronald W.",2009,"McGraw-Hill Irwin,",c2009.,HF5657.4 .H55 2009,41,9/13/2013 11:25
b53104171,Managerial accounting : creating value in a dynamic business environment / Ronald W. Hilton.,"Hilton, Ronald W.",2011,"McGraw-Hill/Irwin,",c2011.,HF5657.4 .H55 2011,104,8/30/2013 14:59
b35429458,Accounting for decision making and control / Jerold L. Zimmerman.,"Zimmerman, Jerold L., 1947-",2006,"McGraw-Hill/Irwin,",c2006.,HF5657.4 .Z55 2006,16,3/23/2014 13:50
b22449334,Financial shenanigans : how to detect accounting gimmicks and fraud in financial reports / Howard M. Schilit,"Schilit, Howard Mark, 1952-",1993,"McGraw-Hill,",c1993,HF5681.B2 S3243 1993,13,3/27/2014 11:07
b29435389,Financial shenanigans / Howard Schilit.,"Schilit, Howard Mark, 1952-",2002,"McGraw-Hill,",c2002.,HF5681.B2 S3243 2002,12,11/11/2010 12:33
b27005148,How to read a financial report : wringing vital signs out of the numbers / John A. Tracy.,"Tracy, John A.",1999,"Wiley,",c1999.,HF5681.B2 T733 1999,12,11/20/2012 11:41
b28974116,"The analysis and use of financial statements / Gerald I. White, Ashwinpaul C. Sondhi, Dov Fried.","White, Gerald I.",2003,"Wiley,",c2003.,HF5681.B2 W4678 2003,18,10/25/2010 11:36
b43510887,"Financial statement analysis / K.R. Subramanyam, John J. Wild.","Subramanyam, K. R.",2009,"McGraw-Hill Irwin,",c2009.,HF5681.B2 W4963 2009,13,5/13/2013 14:55
b40573357,"Business analysis & valuation : using financial statements / Krishna G. Palepu, Paul M. Healy.","Palepu, Krishna G., 1954-",2008,"Thomson/South-Western,",c2008.,HF5681.V3 P295 2008,16,3/28/2014 11:15
b28974049,"Business analysis & valuation : using financial statements : text & cases / Krishna G. Palepu, Paul M. Healy, Victor L. Bernard.","Palepu, Krishna G., 1954-",2000,"South-Western College Pub.,",c2000.,HF5681.V3 P3 2000,12,8/29/2012 11:02
b35984260,"Business analysis & valuation : using financial statements : text & cases / Krishna G. Palepu, Paul M. Healy, Victor L. Bernard.","Palepu, Krishna G., 1954-",2004,"Thomson/South-Western,",c2004.,HF5681.V3 P3 2004,18,9/13/2013 11:25
b29552734,"Cost accounting : a managerial emphasis / Charles T. Horngren, Srikant M. Datar, George Foster.","Horngren, Charles T., 1926-",2003,"Prentice Hall,",c2003.,HF5686.C8 H59 2003,13,7/21/2011 18:20
b22251030,"Strategic cost management : the new tool for competitive advantage / John K. Shank, Vijay Govindarajan","Shank, John K.",1993,"Free Press  ;""Maxwell Macmillan Canada  "";""Maxwell Macmillan International,""",c1993,HF5686.C8 S459 1993,60,5/28/2013 18:06
b24161378,Guide to managerial communication : effective business writing and speaking / Mary Munter.,"Munter, Mary.",1997,"Prentice Hall,",1997,HF5718 .M86 1997,44,3/27/2011 17:40
b27225380,Guide to managerial communication : effective business writing and speaking / by Mary Munter.,"Munter, Mary.",2000,"Prentice Hall,",c2000.,HF5718 .M86 2000,42,3/22/2011 16:49
b2959215x,Guide to managerial communication : effective business writing and speaking / by Mary Munter.,"Munter, Mary.",2003,"Prentice Hall,",c2003.,HF5718 .M86 2003,20,3/25/2013 19:18
b26758428,"The articulate executive : learn to look, act, and sound like a leader / Granville N. Toogood.","Toogood, Granville N.",1996,McGraw-Hill,c1996.,HF5718 .T66 1996,10,3/29/2012 10:09
b2908961x,"Guide to presentations / Mary Munter, Lynn Russell.","Munter, Mary.",2002,"Prentice Hall,",c2002.,HF5718.22 .M86 2002,27,2/19/2013 11:59
b40346924,"Guide to presentations / Mary Munter, Lynn Russell.","Munter, Mary.",2008,"Pearson Prentice Hall,",c2008.,HF5718.22 .M86 2008,10,4/21/2014 10:06
b53603461,"Guide to presentations / Lynn Russell, Mary Munter.","Russell, Lynn.",2014,"Pearson,",c2014.,HF5718.22 .M86 2014,28,5/22/2014 12:25
b23526956,"What to say when--;""What to say when-- you're dying on the platform : a complete resource for speakers, trainers, and executives / Lilly Walters""","Walters, Lillet.",1995,"McGraw-Hill,",c1995,HF5718.22 .W35 1995b,11,1/8/2010 18:48
b28840616,Say it with presentations : how to design and deliver successful business presentations / Gene Zelazny.,"Zelazny, Gene.",2000,"McGraw-Hill,",c2000.,HF5718.22 .Z453 2000,11,5/3/2010 13:34
b37432643,"The business writer's handbook / Gerald J. Alred, Charles T. Brusaw, Walter E. Oliu.","Alred, Gerald J.",2006,"Bedford/St. Martin's,",c2006.,HF5726 .B874 2006,10,1/14/2014 11:38
b29086346,"Guide to meetings / Mary Munter, Michael Netzley.","Munter, Mary.",2002,"Prentice Hall,",c2002.,HF5734.5 .M86 2002,12,10/20/2010 14:09
b23330260,Fables of abundance : a cultural history of advertising in America / Jackson Lears,"Lears, T. J. Jackson, 1947-",1994,"Basic Books,",c1994,HF5813.U6 L418 1994,40,4/22/2013 11:06
b22555213,"Advertising exposure, memory, and choice / edited by Andrew A. Mitchell",,1993,"L. Erlbaum,",1993,HF5822 .A26 1993,14,9/21/2010 13:42
b22555274,"Attention, attitude, and affect in response to advertising / edited by Eddie M. Clark, Timothy C. Brock, David W. Stewart",,1994,"L. Erlbaum Associates,",c1994,HF5822 .A87 1994,13,9/21/2010 13:43
b24184603,Visual persuasion : the role of images in advertising / Paul Messaris.,"Messaris, Paul.",1997,"Sage Publications,",c1997.,HF5822 .M415 1997,24,1/23/2014 12:02
b23436347,Brand power / edited by Paul Stobart,,1994,"New York University Press,",c1994,HF5823 .B7157 1994,13,10/24/2013 15:00
b27971089,The anatomy of buzz : how to create word-of-mouth marketing / Emanuel Rosen.,"Rosen, Emanuel.",2000,"Doubleday/Currency,",c2000.,HF5827.95 .R67 2000,10,4/14/2011 12:51
b26932416,"Advertising and the World Wide Web / edited by David W. Schumann, Esther Thorson.",,1999,"Lawrence Erlbaum Associates,",1999,HF6146.I58 A38 1999,10,3/30/2011 15:06
b39157805,"Optimization methods in finance / Gerard Cornuejols, Reha Tû§tû§ncû§.","Cornuejols, Gerard, 1950-",2007,"Cambridge University Press,",2007,HG106 .C67 2007,15,9/18/2014 11:29
b27943823,Money masters of our time / John Train.,"Train, John.",2000,"HarperBusiness,",c2000.,HG172.A2 T73 2000,17,2/3/2014 9:45
b27733737,Warren Buffett / Robert Heller.,"Heller, Robert, 1932-2012.",2000,"Dorling Kindersley,",c2000.,HG172.B84 H45 2000,14,6/24/2013 20:56
b22449292,King Icahn : the biography of a renegade capitalist / Mark Stevens,"Stevens, Mark, 1947-",1993,"Dutton,",1993,HG172.I27 S74 1993,15,12/13/2010 20:39
b23588949,"Soros : the life, times & trading secrets of the world's greatest investor / Robert Slater","Slater, Robert, 1943-2014.",1996,"Irwin Professional Pub.,",c1996,HG172.S63 S58 1996,13,3/27/2013 16:00
b22843607,"Foundations of financial markets and institutions / Frank J. Fabozzi, Franco Modigliani, Michael G. Ferri","Fabozzi, Frank J.",1994,"Prentice Hall,",c1994,HG173 .F29 1994,14,6/17/2014 11:08
b32105617,Statistics and finance : an introduction / David Ruppert.,"Ruppert, David, 1948-",2004,"Springer,",c2004.,HG176.5 .R87 2004,18,8/25/2014 11:05
b27331155,"Conducting a successful capital campaign : the new, revised, and expanded edition of the leading guide to planning and implementing a capital campaign / Kent E. Dove.","Dove, Kent E., 1945-",2000,"Jossey-Bass Publishers,",c2000.,HG177.5.U6 D68 2000,11,10/31/2010 16:31
b47388420,Poverty capital : microfinance and the making of development / Ananya Roy.,"Roy, Ananya.",2010,"Routledge,",2010,HG178.3 .R69 2010,10,7/21/2014 13:26
b27223449,Why smart people make big money mistakes--and how to correct them : lessons from the new science of behavioral economics / Gary Belsky and Thomas Gilovich.,"Belsky, Gary.",1999,"Simon & Schuster,",c1999.,HG179 .B375 1999,16,10/5/2010 16:13
b2755417x,Financial institutions and markets / Meir Kohn.,"Kohn, Meir G.",1998,"McGraw-Hill,",c1998.,HG181 .K642 1998,33,4/20/2014 22:04
b39138501,"Financial markets and institutions / Frederic S, Mishkin, Stanley G. Eakins.","Mishkin, Frederic S.",2006,"Addison Wesley,",c2006.,HG181 .M558 2006,15,1/30/2013 10:25
b46330756,"Financial markets and institutions / Frederic S. Mishkin, Stanley G. Eakins.","Mishkin, Frederic S.",2009,"Pearson Prentice Hall,",c2009.,HG181 .M558 2009,17,4/20/2014 22:04
b49224505,"Financial markets and institutions / Frederic S. Mishkin, Stanley G. Eakins.","Mishkin, Frederic S.",2012,"Prentice Hall,",c2012.,HG181 .M558 2012,18,8/21/2014 11:34
b39528455,The last tycoons : the secret history of Lazard Frû?res & Co. / William D. Cohan.,"Cohan, William D.",2007,"Doubleday,",c2007.,HG2613.N54 L39 2007,10,3/18/2012 13:29
b12715165,The credit card industry : a history / Lewis Mandell,"Mandell, Lewis.",1990,"Twayne Publishers,",1990,HG3756.U54 M25 1990,15,12/6/2011 12:53
b18797684,Corporate financial distress and bankruptcy : a complete guide to predicting & avoiding distress and profiting from bankruptcy / Edward I. Altman,"Altman, Edward I., 1941-",1993,"Wiley,",c1993,HG3766 .A66 1993,19,4/6/2013 14:57
b37839895,Distressed debt analysis : strategies for speculative investors / Stephen G. Moyer.,"Moyer, Stephen G., 1957-",2005,"J. Ross,",c2005.,HG3766 .M69 2005,21,3/31/2014 11:25
b27524218,"International financial markets and the firm / Piet Sercu, Raman Uppal.","Sercu, Piet.",1995,"College Division, South-Western Pub. Co.,",c1995.,HG3821 .S47 1995,11,2/17/2010 9:49
b23367581,"Fundamentals of corporate finance / Richard A. Brealey, Stewart C. Myers, Alan J. Marcus","Brealey, Richard A.",1995,"McGraw-Hill,",c1995,HG4026 .B6668 1995,33,11/19/2012 18:55
b29568055,"Principles of corporate finance / Richard A. Brealey, Stewart C. Myers.","Brealey, Richard A.",2003,"McGraw-Hill/Irwin,",c2003.,HG4026 .B667 2003,24,3/27/2012 18:18
b33938039,"Principles of corporate finance / Richard A. Brealey, Stewart C. Myers, Franklin Allen.","Brealey, Richard A.",2006,"McGraw-Hill/Irwin,",c2006.,HG4026 .B667 2006,30,9/16/2013 22:00
b53587765,Principles of corporate finance.,"Brealey, Richard A.",2011,"McGraw-Hill/Irwin,",c2011.,HG4026 .B667 2011,32,8/15/2014 10:47
b28608525,Corporate finance : theory and practice / Aswath Damodaran.,"Damodaran, Aswath.",2001,"Wiley,",c2001.,HG4026 .D33 2001,27,3/28/2014 11:15
b40171802,Handbook of corporate finance : empirical corporate finance / edited by B. Espen Eckbo.,,2007,"Elsevier,",2007-2008,HG4026 .H339 2007,36,2/17/2014 14:57
b40171802,Handbook of corporate finance : empirical corporate finance / edited by B. Espen Eckbo.,,2007,"Elsevier,",2007-2008,HG4026 .H339 2007,32,2/3/2014 11:56
b38941648,Analysis for financial management / Robert C. Higgins,"Higgins, Robert C.",2007,"McGraw-Hill/Irwin,",c2007.,HG4026 .H496 2007,16,1/23/2014 12:07
b23822375,"Corporate finance / Stephen A. Ross, Randolph W. Westerfield, Jeffrey Jaffe.","Ross, Stephen A.",1996,"Irwin,",c1996.,HG4026 .R675 1996b,89,1/3/2012 11:13
b26947705,"Corporate finance / Stephen A. Ross, Randolph W. Westerfield, Jeffrey Jaffe.","Ross, Stephen A.",1999,"Irwin/McGraw-Hill,",c1999.,HG4026 .R675 1999,82,9/24/2012 14:10
b33065767,"Corporate finance / Stephen A. Ross, Randolph W. Westerfield, Jeffrey Jaffe.","Ross, Stephen A.",2005,"McGraw-Hill/Irwin,",c2005.,HG4026 .R675 2005,25,4/1/2013 23:57
b39527979,"Corporate finance / Stephen A. Ross, Randolph W. Westerfield, Jeffrey Jaffe.","Ross, Stephen A.",2008,"McGraw-Hill/Irwin,",c2008.,HG4026 .R675 2008,36,12/12/2013 13:14
b46994300,"Corporate finance / Stephen A. Ross, Randolph W. Westerfield, Jeffrey Jaffe.","Ross, Stephen A.",2010,"McGraw-Hill/Irwin,",2010,HG4026 .R675 2010,24,9/3/2014 7:13
b55426359,"Corporate finance / Stephen A. Ross, Randolph W. Westerfield, Jeffrey Jaffe.","Ross, Stephen A.",2013,"McGraw-Hill/Irwin,",c2013.,HG4026 .R675 2013,19,8/29/2014 13:21
b2272834x,Investment under uncertainty / Avinash K. Dixit and Robert S. Pindyck,"Dixit, Avinash K.",1994,"Princeton University Press,",c1994,HG4028.C4 D58 1994,44,7/10/2014 11:13
b34935150,Deals from hell : M & A lessons that rise above the ashes / Robert F. Bruner.,"Bruner, Robert F.",2005,"Wiley,",c2005.,HG4028.M4 B78 2005,11,2/13/2013 14:29
b46173110,"The practitioner's guide to investment banking, mergers & acquisitions, corporate finance / Jerilyn J. Castillo and Peter J. McAniff.","Castillo, Jerilyn J.",2007,"Circinus Business Press,",2007,HG4028.M4 C37 2007,14,10/25/2013 8:44
b28955973,"Merger & acquisition, valuation and structuring : from cash flow derivation to stock performance / Alan D. Gasiorek.","Gasiorek, Alan D.",2001,"Corporate Development Institute,",2001,HG4028.M4 G374 2001,10,9/10/2012 17:09
b24095813,M & A : a practical guide to doing the deal / Jeffrey C. Hooke.,"Hooke, Jeffrey C.",1997,"Wiley,",c1997.,HG4028.M4 H66 1997,12,12/20/2010 14:07
b33210664,Structuring mergers & acquisitions : a guide to creating shareholder value / by Peter A. Hunt.,"Hunt, Peter (Peter A.)",2004,"Aspen Publishers,",c2004.,HG4028.M4 H86 2004,12,3/19/2012 16:43
b27592996,The vulture investors / Hilary Rosenberg.,"Rosenberg, Hilary, 1958-",2000,"J. Wiley,",c2000.,HG4028.M4 R67 2000,13,9/30/2013 12:15
b27592996,The vulture investors / Hilary Rosenberg.,"Rosenberg, Hilary, 1958-",2000,"J. Wiley,",c2000.,HG4028.M4 R67 2000,12,3/9/2012 11:27
b27883802,"Valuation : measuring and managing the value of companies / Tom Copeland, Tim Koller, Jack Murrin.","Copeland, Thomas E., 1946-",2000,"John Wiley,",2000,HG4028.V3 C67 2000,33,10/11/2010 12:10
b27883802,"Valuation : measuring and managing the value of companies / Tom Copeland, Tim Koller, Jack Murrin.","Copeland, Thomas E., 1946-",2000,"John Wiley,",2000,HG4028.V3 C67 2000,10,10/16/2012 18:11
b49046408,"Valuation : measuring and managing the value of companies / McKinsey & Company   Tim Koller, Marc Goedhart, David Wessels.","Koller, Tim.",2010,"Wiley,",c2010.,HG4028.V3 C67 2010,13,1/3/2014 8:24
b24165712,Damodaran on valuation : security analysis for investment and corporate finance / Aswath Damodaran.,"Damodaran, Aswath.",1994,"Wiley,",c1994.,HG4028.V3 D35 1994,15,1/6/2011 17:09
b42015698,Damodaran on valuation : security analysis for investment and corporate finance / Aswath Damodaran.,"Damodaran, Aswath.",2006,"John Wiley & Sons,",c2006.,HG4028.V3 D35 2006,16,4/1/2014 16:42
b48977469,"Behavioral finance : psychology, decision-making, and markets / Lucy F. Ackert, Richard Deaves.","Ackert, Lucy F.",2010,"South-Western Cengage Learning,",c2010.,HG4515.15 .A29 2010,11,6/25/2014 10:35
b27331325,Beyond greed and fear : understanding behavioral finance and the psychology of investing / Hersh Shefrin.,"Shefrin, Hersh, 1948-",2000,"Harvard Business School Press,",c2000.,HG4515.15 .S53 2000,18,4/4/2012 14:40
b28835438,Winning angels : the seven fundamentals of early-stage investing / David Amis and Howard Stevenson.,"Amis, David.",2001,"Financial Times Prentice Hall,",2001,HG4521 .A538 2001,11,1/10/2010 12:46
